Recency,Frequency,MonetaryValue,Length
40,1,11000000,1895
25,1,720000,1881
19,1,6120000,1874
74,1,1210000,1929
79,1,15400000,1935
22,1,2560000,1877
33,1,10560000,1888
29,1,572000,1885
6,3,4152500,1861
80,1,715000,1935
19,1,4680000,1874
22,1,4810000,1877
29,1,11000000,1884
85,3,1295250,1940
24,1,15675000,1879
79,3,2159800,1940
60,3,1595000,1924
23,1,3225000,1878
48,1,865150,1903
24,1,12540000,1879
60,1,2079000,1915
28,1,660000,1883
25,2,1136700,1936
29,1,6240000,1884
59,1,780000,1914
18,1,6120000,1873
70,1,1210000,1925
18,1,12210000,1873
59,1,1320000,1914
33,1,6240000,1888
65,1,6702000,1921
67,1,1045000,1922
26,1,10230000,1881
20,1,2880000,1875
67,1,1210000,1922
59,1,715000,1915
18,1,11605000,1873
45,1,10010000,1900
31,1,11605000,1886
82,1,1208900,1937
18,1,11550000,1873
53,4,4065600,1943
18,1,11660000,1873
34,1,1056000,1889
81,1,1925000,1936
22,1,10230000,1877
24,2,22990000,1900
66,5,11380000,1938
45,1,10615000,1900
47,1,770000,1902
64,2,2856500,1920
25,1,5520000,1880
18,1,6108000,1873
6,2,1849000,1899
21,11,126242600,1922
50,1,1375000,1906
21,7,80313200,1920
46,1,10010000,1901
75,1,715000,1930
60,1,2860000,1915
73,6,1755000,1931
62,1,1223211,1917
30,1,5640000,1885
40,1,5520000,1895
71,1,538800,1926
1,6,23120050,1911
89,1,1232000,1944
28,3,5608900,1918
83,4,1067000,1938
32,1,2560000,1887
36,1,10340000,1891
31,1,13585000,1886
39,1,10010000,1894
29,1,5460000,1884
86,1,748000,1941
62,1,715000,1917
38,1,10010000,1893
18,1,10560000,1873
24,5,3441000,1943
27,1,6120000,1882
4,22,11789289,1888
20,1,12210000,1875
72,1,2200000,1927
33,1,696000,1888
24,1,4680000,1879
12,1,658000,1867
30,1,2560000,1885
43,1,10835000,1898
81,1,1320000,1936
36,1,6120000,1891
59,1,1320000,1914
66,1,990000,1922
23,1,5940000,1878
81,1,979000,1936
32,1,1232000,1888
29,1,10230000,1884
20,1,5736000,1875
80,1,390000,1936
61,2,837000,1916
36,1,5520000,1891
39,1,10835000,1894
6,1,34760000,1861
25,1,11220000,1880
19,1,11110000,1874
59,3,3630000,1936
88,1,465000,1943
80,1,917840,1935
15,8,8423800,1941
73,1,814000,1929
22,1,10010000,1877
18,1,6120000,1873
65,1,754050,1920
36,1,487500,1891
20,1,11605000,1875
64,1,1232000,1919
24,1,6060000,1879
25,1,720000,1881
69,1,2200000,1924
20,1,11165000,1876
24,1,6072000,1879
35,1,1705000,1890
59,4,2782000,1937
59,5,4493150,1924
24,1,10560000,1879
61,4,1651100,1938
25,1,11000000,1880
88,1,738000,1943
18,1,3920000,1873
22,1,1232000,1878
23,1,11220000,1878
19,1,10560000,1874
33,1,11330000,1888
73,3,2098200,1939
41,2,1672600,1900
18,1,12210000,1873
22,1,10560000,1877
24,1,1210000,1879
26,1,5880000,1881
28,2,2222000,1909
68,1,880000,1923
41,1,11220000,1896
23,1,10010000,1878
59,1,480000,1915
39,1,11000000,1894
69,1,744000,1924
20,1,15235000,1875
32,1,6240000,1887
39,1,3225000,1894
19,1,6120000,1874
85,2,728000,1941
84,1,540000,1939
37,1,4030000,1892
46,1,5520000,1901
40,1,4030000,1895
26,1,2420000,1881
26,1,1215500,1882
65,6,4786100,1940
18,1,4745000,1873
27,1,5200000,1882
29,1,10285000,1884
79,1,753500,1934
30,1,5520000,1885
18,1,6720000,1873
24,2,22939400,1902
24,1,10659000,1879
60,2,2913000,1919
40,1,6120000,1895
36,1,4030000,1891
6,5,3372700,1904
15,1,880000,1870
18,1,4680000,1873
67,1,16335000,1922
23,1,3075000,1878
36,1,10835000,1891
86,3,3828000,1941
18,1,6120000,1873
64,1,935000,1919
22,1,1210000,1878
25,1,565500,1881
68,1,849200,1923
47,2,165198000,1902
62,1,2264900,1917
27,1,5640000,1882
71,1,3960000,1926
85,1,432000,1940
37,2,1320000,1893
68,1,1650000,1924
18,1,6120000,1873
12,1,7535000,1867
18,1,10560000,1873
20,1,4420000,1875
38,1,10340000,1893
25,1,565500,1881
19,3,8664050,1897
73,1,759000,1929
20,1,11770000,1875
21,11,107942410,1934
61,1,2858900,1917
85,1,490000,1940
18,1,6108000,1873
22,1,11000000,1877
80,1,617500,1935
52,1,1199000,1907
24,1,6120000,1879
49,1,1034000,1905
18,1,4680000,1873
31,1,5200000,1886
37,1,11550000,1892
31,1,11330000,1886
73,1,825000,1929
28,1,15180000,1883
27,1,5948400,1882
25,1,5940000,1880
24,1,4160000,1879
2,1,1430000,1857
22,1,4680000,1877
18,1,6120000,1873
60,3,3317710,1916
43,1,6108000,1898
23,1,2880000,1878
44,1,6120000,1899
84,1,781000,1939
86,1,600000,1941
31,1,11110000,1886
62,1,1210000,1917
67,1,453600,1922
64,1,540000,1919
23,1,3640000,1878
88,2,1232000,1943
29,1,4680000,1884
83,1,748000,1938
75,1,770000,1930
52,1,1199000,1907
25,1,1408000,1880
20,1,11099000,1875
71,1,1265000,1926
20,1,6228000,1875
22,2,22888800,1903
23,1,11055000,1878
37,1,11099000,1892
54,1,474000,1910
29,1,11055000,1884
11,14,14221300,1908
70,1,990000,1925
24,1,1210000,1879
25,2,11176000,1880
26,1,11000000,1881
22,1,11099000,1877
18,1,4355000,1873
29,1,13200000,1884
25,1,3000000,1880
60,1,825000,1915
58,1,16885000,1913
78,1,869000,1933
20,1,2720000,1875
21,7,80363800,1920
21,6,69110800,1910
24,1,10890000,1879
20,1,4810000,1875
24,1,12760000,1879
24,1,565500,1880
82,1,715000,1938
27,1,2720000,1882
85,1,902000,1941
22,1,2560000,1877
26,1,1232000,1882
75,1,737000,1930
40,2,14025000,1902
82,2,529700,1938
25,1,1232000,1880
25,1,935000,1881
71,1,1265000,1926
30,1,2720000,1885
29,1,10560000,1884
23,1,10560000,1878
78,2,990000,1936
45,1,598000,1900
5,5,5706450,1934
18,1,6840000,1873
22,1,1265000,1877
59,1,1320000,1914
6,1,1100000,1861
26,10,16642900,1894
66,1,781000,1921
68,1,814000,1923
20,1,11605000,1875
43,1,596700,1898
23,1,2560000,1878
2,1,2365000,1857
8,1,1320000,1863
27,1,1226500,1883
62,2,3120447,1942
59,1,803000,1915
24,1,1210000,1879
80,1,770000,1936
43,1,10010000,1898
76,1,814000,1931
30,1,4680000,1885
83,1,757900,1938
59,1,880000,1915
42,1,513500,1897
66,1,715000,1921
78,2,1683400,1933
2,5,5351500,1928
61,1,510400,1917
22,1,11000000,1877
81,1,1210000,1936
27,1,10560000,1882
22,1,3640000,1877
41,1,10835000,1896
19,1,11770000,1874
39,2,179498000,1895
22,1,10560000,1877
80,1,1210000,1935
49,1,1034000,1905
22,2,22939400,1903
81,1,836000,1936
36,1,5628000,1891
76,4,2065000,1931
20,1,10230000,1875
26,3,1429500,1895
23,1,12969000,1878
24,2,22990000,1900
29,1,10010000,1884
72,2,594000,1928
23,1,3920000,1878
24,1,2560000,1879
64,1,1776500,1920
18,1,4290000,1873
24,2,22939400,1900
22,1,10890000,1877
46,1,6108000,1901
17,4,2924000,1903
18,1,10010000,1873
18,1,10725000,1873
29,1,6120000,1884
20,23,123452000,1930
27,1,1232000,1883
83,1,825000,1938
25,1,10406000,1880
24,1,11220000,1879
32,1,11440000,1887
31,1,2560000,1886
26,1,11220000,1881
37,1,6120000,1892
18,1,6180000,1873
30,1,1210000,1885
25,1,11220000,1880
25,1,10780000,1880
19,1,11495000,1874
1,2,12738000,1863
27,1,1226500,1883
19,1,6720000,1874
60,1,1033989,1915
30,1,10780000,1885
60,2,2225000,1922
46,1,11000000,1901
18,1,5520000,1873
24,6,3442350,1931
24,1,1221000,1880
29,1,732000,1885
27,1,1232000,1883
52,1,1199000,1907
57,6,2860700,1912
22,1,2560000,1877
2,1,2365000,1857
35,1,1232000,1890
29,1,4355000,1884
48,2,1358500,1903
23,1,10780000,1878
21,11,126293200,1922
18,1,10010000,1873
18,1,11660000,1873
34,1,982215,1890
35,1,840000,1890
23,1,1210000,1878
74,1,540000,1929
42,1,513500,1897
23,1,6720000,1878
45,1,4225000,1900
20,1,11550000,1875
41,1,24255000,1896
27,1,11000000,1882
88,1,726000,1944
73,1,672100,1929
18,1,10010000,1873
24,1,10780000,1879
18,1,4355000,1873
41,1,4030000,1896
24,1,15510000,1879
41,1,10340000,1896
32,1,10615000,1887
29,1,2880000,1884
24,1,5200000,1879
20,1,6072000,1875
21,6,68919400,1910
26,1,10065000,1881
16,1,1595000,1871
15,2,1988750,1932
30,1,5880000,1885
39,1,10010000,1894
18,1,4485000,1873
23,1,11000000,1878
18,1,11099000,1873
19,1,7020000,1874
31,1,5520000,1886
45,1,5520000,1900
20,1,3640000,1875
76,1,748000,1931
47,1,14410000,1902
20,1,6120000,1875
24,1,13805000,1879
20,1,5640000,1875
30,1,6180000,1885
29,1,572000,1885
31,1,5200000,1886
56,2,1313500,1928
60,2,1303500,1930
65,2,1250000,1921
33,1,10560000,1888
27,1,1226500,1882
18,1,11770000,1873
58,7,3055000,1914
22,1,11605000,1877
10,1,1067000,1865
83,1,13310000,1938
26,1,10285000,1881
24,1,6720000,1879
23,1,6240000,1878
7,1,874500,1863
9,3,2400000,1877
37,1,10010000,1892
22,1,5940000,1877
83,2,990000,1938
82,1,1320000,1937
76,2,230400000,1931
84,1,444000,1939
22,2,22990000,1907
45,1,4030000,1900
52,2,2051000,1916
75,1,1210000,1931
86,1,1485000,1942
22,2,1657500,1897
13,4,3248800,1922
14,3,2409400,1905
18,1,6120000,1873
26,1,10010000,1881
53,1,1006500,1908
20,4,1692000,1887
32,1,1210000,1887
85,2,715000,1941
25,1,4030000,1880
67,1,16335000,1922
24,2,22939400,1900
4,1,1457500,1859
85,1,781000,1940
41,1,660000,1897
77,1,456000,1932
56,2,2979900,1917
16,4,4304000,1941
22,2,22939400,1902
80,1,236500,1936
79,1,1344000,1934
52,1,1199000,1907
18,1,4550000,1873
23,1,1210000,1878
21,1,11605000,1876
45,1,4030000,1900
18,1,10560000,1873
28,4,2640000,1884
32,1,4277000,1887
27,1,1226500,1882
31,1,6240000,1886
24,1,15510000,1879
21,7,79978800,1920
80,1,900000,1935
32,1,6120000,1887
26,2,2973500,1895
26,1,3150000,1881
69,1,935000,1924
55,2,619500,1910
43,1,596700,1898
74,1,504000,1929
18,1,11110000,1874
60,1,1430000,1915
23,1,6120000,1878
40,6,5388280,1899
37,1,6360000,1892
29,1,2560000,1884
60,1,825000,1915
23,1,10230000,1878
19,1,11110000,1874
21,8,6211000,1935
29,1,6000000,1884
25,1,4680000,1880
2,2,12870000,1875
61,1,715000,1916
36,1,10010000,1891
52,1,69410000,1907
32,1,6000000,1887
26,1,487500,1881
27,1,2560000,1882
32,1,4680000,1887
24,2,22939400,1902
17,2,1196000,1900
65,1,1428000,1920
43,2,9738000,1903
48,1,10010000,1903
79,1,336000,1934
32,1,1265000,1887
14,1,1179200,1869
28,1,11000000,1883
29,1,11000000,1884
23,1,10890000,1878
23,1,2560000,1878
36,1,1210000,1891
41,1,11220000,1896
22,1,585000,1878
18,1,5700000,1873
17,3,2406000,1900
41,1,24255000,1896
27,1,11220000,1882
22,2,23155000,1902
40,1,10010000,1895
56,2,1140500,1941
63,1,1210000,1918
90,1,1210000,1946
40,1,6120000,1895
82,1,948000,1937
10,1,1430000,1865
1,10,10895000,1928
75,1,933324,1931
27,1,6480000,1882
71,1,1265000,1926
62,1,768900,1918
26,1,1210000,1881
23,1,2560000,1878
23,1,5520000,1878
20,1,3640000,1876
20,1,10010000,1875
24,2,22888800,1902
18,1,11110000,1874
27,1,1320000,1882
17,3,2406000,1900
18,1,10010000,1873
24,1,11110000,1879
29,1,6240000,1884
67,4,1737000,1922
38,1,10010000,1893
31,1,6180000,1886
40,1,1210000,1895
29,1,6000000,1884
68,2,924000,1923
49,1,1034000,1905
20,1,11110000,1875
60,1,6120000,1915
23,1,4030000,1878
60,1,1320000,1915
22,1,1210000,1878
41,1,286000,1897
82,1,600000,1937
19,1,6120000,1874
23,1,10659000,1878
20,1,4355000,1875
18,1,10120000,1873
29,1,11055000,1884
12,1,3960000,1867
89,1,1232000,1944
36,1,4030000,1891
26,1,518700,1881
36,1,6180000,1891
25,1,565500,1881
20,1,10230000,1875
30,1,11110000,1885
26,1,2560000,1881
18,1,4680000,1873
74,2,2035000,1930
76,1,902000,1931
82,1,11110000,1937
22,2,22605000,1902
85,1,869000,1940
79,1,315000,1934
29,1,4680000,1884
21,1,1210000,1876
21,7,6378547,1930
36,1,1221000,1891
24,1,720000,1880
19,1,6120000,1874
32,1,660000,1887
19,1,11495000,1874
84,1,715000,1939
15,6,2476400,1936
21,1,11165000,1877
32,1,6440000,1887
48,1,6108000,1903
38,1,12969000,1893
29,1,5520000,1884
29,1,11660000,1884
27,1,11220000,1882
30,1,6708000,1885
69,1,935000,1925
41,1,11000000,1896
54,2,1195000,1909
89,1,737000,1945
64,4,2713150,1934
67,2,1463000,1922
21,3,2376000,1908
21,1,19855000,1876
29,4,3350750,1933
22,1,3640000,1877
24,1,5820000,1879
20,1,3640000,1875
40,1,13310000,1895
26,1,11000000,1881
18,1,6240000,1873
20,1,10780000,1875
22,1,1221000,1878
19,1,11605000,1874
68,1,1155000,1923
86,1,748000,1941
33,1,10890000,1888
29,1,1012000,1884
39,1,10835000,1894
60,1,216000000,1915
80,2,2002000,1936
20,1,10890000,1875
51,5,3025000,1906
23,1,10175000,1878
8,3,8419000,1873
30,1,11110000,1885
7,3,4246000,1911
18,1,4030000,1873
24,1,11099000,1879
29,1,3150000,1884
25,1,423600,1880
23,1,2560000,1878
70,1,1500000,1925
5,4,4828000,1922
45,2,3564000,1907
27,1,11605000,1882
18,1,11660000,1873
56,2,1363500,1934
2,3,28985000,1896
45,1,6120000,1900
77,5,1891483,1936
62,1,390000,1918
37,1,5520000,1892
80,1,825000,1936
22,3,2653500,1935
7,1,1320000,1863
22,1,11099000,1877
52,1,1375000,1907
48,1,671000,1903
22,2,22990000,1903
34,1,1199000,1889
19,1,4270000,1874
45,1,4290000,1900
19,1,11099000,1874
20,1,11055000,1875
23,1,5640000,1878
23,1,4160000,1878
83,1,979000,1938
20,1,10780000,1875
18,1,6120000,1873
54,1,6120000,1910
82,1,973500,1937
32,1,6150000,1887
66,3,2510750,1931
25,1,5760000,1880
18,1,6720000,1873
23,1,4225000,1878
25,1,15510000,1880
29,1,11099000,1884
49,1,1034000,1905
78,1,480000,1934
61,1,474000,1916
39,1,10340000,1894
46,1,13310000,1901
20,1,11099000,1875
19,1,4355000,1874
27,1,11605000,1882
75,1,5564000,1931
27,1,4355000,1882
44,2,2233000,1905
24,2,22888800,1900
20,1,3640000,1875
40,1,5520000,1895
27,1,1320000,1882
28,10,6600000,1883
38,1,838200,1893
20,1,5640000,1875
8,4,8169000,1941
36,1,12969000,1891
62,1,1210000,1917
40,1,6180000,1895
39,1,4225000,1894
39,1,3640000,1894
22,1,1210000,1878
74,1,1980000,1929
61,2,4068900,1935
24,1,12760000,1879
18,1,10010000,1873
38,1,6360000,1893
63,1,450000,1918
17,3,2326000,1900
81,1,540000,1936
68,1,715000,1924
29,1,11000000,1884
23,1,4030000,1878
51,4,4895000,1913
18,1,12210000,1873
22,2,22939400,1903
26,1,1210000,1882
82,1,880000,1937
46,1,4225000,1901
24,1,732000,1880
61,1,1210000,1916
42,1,1100000,1897
22,1,1210000,1878
36,1,6108000,1891
22,1,6240000,1877
85,1,638000,1941
31,1,10010000,1886
23,1,4680000,1878
55,1,1100000,1910
22,1,12760000,1877
32,1,11000000,1887
19,1,10560000,1874
29,1,10670000,1884
55,1,22550000,1911
22,1,11110000,1877
27,1,11055000,1882
60,3,1650000,1915
20,1,6240000,1875
80,1,1320000,1936
46,1,6120000,1902
24,1,10010000,1879
20,1,6120000,1875
40,1,10010000,1895
26,1,2560000,1881
56,4,3037500,1938
31,1,6120000,1886
23,1,1210000,1878
40,1,6180000,1895
37,1,5520000,1892
39,1,4810000,1894
41,1,1012000,1896
20,1,11990000,1875
49,2,1383000,1937
33,1,11000000,1888
26,1,1232000,1882
32,2,6900000,1887
87,1,715000,1942
2,2,2220000,1871
18,1,6240000,1873
25,1,4680000,1880
37,1,450000,1892
62,1,715000,1917
23,1,3000000,1878
6,3,2749000,1912
47,2,1669000,1937
86,1,902000,1941
41,1,10835000,1896
16,1,1595000,1871
20,1,10560000,1875
26,1,11330000,1881
5,1,6369000,1860
32,1,5880000,1887
18,1,11605000,1873
46,1,6120000,1902
18,1,12210000,1874
19,1,6180000,1874
76,1,968000,1931
29,1,11055000,1884
23,1,10285000,1878
53,2,2098000,1915
59,1,810700,1915
20,1,6240000,1875
32,1,7810000,1888
20,1,6120000,1875
32,1,163053000,1887
18,1,4270000,1873
30,1,6060000,1885
21,2,22939400,1876
62,4,5396050,1927
62,1,803000,1918
19,1,6240000,1874
17,1,1760000,1872
62,1,759000,1917
26,1,10010000,1881
26,2,10780000,1881
26,1,10780000,1881
12,2,1992100,1937
52,1,968000,1907
24,1,5760000,1879
68,2,2816000,1923
65,1,1680800,1920
63,1,1529000,1918
26,1,6240000,1881
19,1,6120000,1874
88,1,1210000,1943
44,1,1199000,1899
60,1,957000,1916
38,1,15675000,1893
26,1,1221000,1882
37,1,11550000,1892
40,3,2070030,1920
74,1,16663920,1929
51,2,1872000,1919
26,1,1221000,1882
30,1,572000,1885
30,1,12969000,1885
41,1,10879000,1896
22,1,11000000,1877
54,4,2310000,1909
77,1,803000,1932
78,1,715000,1934
55,1,7208300,1910
83,1,1199000,1938
23,1,10560000,1878
68,1,770000,1923
68,1,718025,1923
59,12,6519180,1936
27,1,1226500,1882
43,2,1795700,1899
81,1,1100000,1936
19,1,7920000,1874
52,2,1375400,1929
18,1,12210000,1873
29,1,572000,1885
79,1,15400000,1934
19,1,11495000,1874
24,1,11000000,1879
41,1,24255000,1896
29,1,14740000,1884
21,1,11165000,1877
33,1,6000000,1888
85,1,1175900,1940
23,1,4680000,1878
85,1,448000,1940
37,1,19635000,1892
24,1,10010000,1879
62,2,3130050,1921
79,1,990000,1934
27,1,13585000,1882
24,1,11110000,1879
22,2,22888800,1903
68,1,759000,1923
80,1,715000,1935
69,1,1210000,1924
25,1,6120000,1880
21,1,13200000,1876
22,1,6120000,1877
67,1,757900,1923
26,1,11055000,1881
43,2,1465700,1911
26,1,220000,1882
25,5,3489644,1918
89,1,1210000,1944
22,1,6120000,1877
89,2,980000,1944
36,3,1752100,1940
69,1,750640,1924
85,1,1164900,1941
18,1,11099000,1873
88,1,1232000,1944
65,1,770000,1920
30,1,6120000,1885
30,1,11440000,1885
19,1,10560000,1874
71,2,2279200,1931
62,19,14863420,1930
17,2,1808000,1912
59,1,16335000,1914
89,1,1210000,1944
12,1,4020000,1867
31,1,11055000,1886
20,1,3645000,1875
62,4,2040000,1917
4,31,14248443,1888
70,2,1475100,1930
29,1,4030000,1884
19,1,6120000,1874
17,2,1196000,1900
26,2,1159600,1935
59,1,624000,1914
39,1,15785000,1894
88,1,585000,1943
57,9,9495850,1935
19,1,10560000,1874
51,2,2458500,1907
58,1,1320000,1914
20,1,10560000,1875
26,1,11330000,1881
73,1,900000,1928
16,1,2145000,1871
80,1,1210000,1935
29,1,6180000,1884
20,1,4485000,1875
25,1,1320000,1880
21,1,1210000,1877
34,1,11550000,1889
29,1,10945000,1884
83,2,1686000,1941
24,1,726000,1879
23,1,3640000,1878
40,1,11099000,1895
29,1,11000000,1884
40,1,1032130,1895
32,1,6120000,1887
85,1,362600,1940
38,1,4030000,1893
18,1,6180000,1873
48,2,11550000,1903
45,7,4888500,1937
67,1,1210000,1922
23,1,1210000,1878
19,1,6120000,1874
84,1,825000,1939
46,1,785400,1901
43,1,6120000,1898
23,1,6240000,1878
80,2,1991000,1935
32,1,5880000,1887
25,1,10538000,1880
26,1,507000,1881
20,1,11330000,1875
21,1,13200000,1876
25,1,4810000,1880
68,1,1344000,1923
22,1,6120000,1877
32,1,129882500,1887
43,1,596700,1898
33,1,6480000,1888
66,2,1749000,1922
23,5,4573500,1911
24,1,1221000,1880
25,1,1100000,1880
26,3,4245900,1923
32,1,1210000,1888
67,1,825000,1922
43,2,9200000,1903
43,1,11220000,1898
29,1,4030000,1884
28,1,585000,1883
20,1,1265000,1875
59,1,825000,1915
18,1,10395000,1873
18,1,6480000,1873
66,1,1265000,1922
43,2,13420000,1903
81,2,593340,1936
73,1,990000,1928
24,1,5970000,1879
20,1,10010000,1875
14,2,1812700,1905
27,1,2560000,1882
18,1,6240000,1873
27,1,1226500,1882
24,1,1210000,1880
25,1,1320000,1880
4,36,21041610,1941
78,1,803000,1933
41,1,6180000,1896
18,1,11770000,1873
38,1,4030000,1893
20,1,6120000,1875
48,14,5439200,1912
27,1,11000000,1882
60,2,883520,1915
67,1,1210000,1922
81,1,1210000,1936
78,2,1510000,1933
7,2,2926000,1911
32,1,12045000,1887
82,1,624000,1937
18,1,6120000,1873
61,1,310000,1916
25,2,10230000,1880
25,1,2720000,1880
70,1,1223211,1925
27,1,6000000,1882
18,1,4680000,1873
71,1,1265000,1926
71,1,1617000,1926
40,4,3127600,1936
82,1,979000,1937
24,1,4680000,1879
39,2,82870500,1924
89,1,1210000,1944
22,2,22888800,1907
25,1,11550000,1880
36,1,10615000,1891
86,1,1980000,1941
21,1,455000,1876
18,1,4270000,1873
62,1,2264900,1917
30,1,10780000,1885
25,1,6240000,1880
54,1,455000,1910
59,1,1210000,1915
79,2,2815320,1941
72,2,929280,1927
44,1,1199000,1899
18,1,4680000,1873
79,1,792000,1935
20,1,11055000,1875
26,1,5200000,1881
59,5,2431000,1925
22,1,1221000,1877
45,1,5520000,1900
36,1,10010000,1891
25,3,1918700,1919
68,1,803000,1923
66,1,2288000,1921
62,1,935000,1917
29,1,6240000,1884
29,1,4355000,1884
71,1,1265000,1926
18,1,6120000,1873
45,1,11099000,1900
23,1,10538000,1878
78,1,855547,1934
69,3,2515000,1938
23,1,10296000,1878
19,1,4680000,1874
27,1,6240000,1882
22,1,10010000,1877
25,1,617500,1880
23,1,11000000,1878
18,1,12210000,1873
27,1,11099000,1882
23,1,6120000,1878
19,1,6720000,1874
63,2,961400,1918
40,1,3225000,1895
34,1,11000000,1889
20,1,10560000,1875
22,1,10560000,1877
4,1,1188000,1859
29,1,6060000,1884
23,1,1210000,1878
19,1,4550000,1874
30,1,11110000,1885
80,1,973500,1935
69,1,1018800,1924
79,1,933900,1934
31,1,11440000,1886
27,1,6180000,1882
38,1,10010000,1893
30,1,11220000,1885
21,11,126920200,1933
69,1,1210000,1924
26,1,1218800,1881
37,1,6120000,1892
19,1,11605000,1874
17,3,1794000,1903
20,1,6120000,1875
6,3,2418400,1899
65,2,1001000,1921
19,1,11660000,1874
25,1,11000000,1880
20,1,10670000,1875
68,1,1344000,1923
27,2,1066000,1892
19,2,22939400,1874
61,2,5553900,1917
2,1,1969000,1858
51,1,936000,1907
57,2,5699000,1912
83,3,1426200,1939
18,1,4810000,1873
24,1,10538000,1879
52,2,873000,1907
90,1,456000,1945
19,1,10010000,1874
73,1,1033989,1929
19,1,6120000,1874
15,2,2233000,1928
52,1,3144000,1907
88,1,6706000,1943
80,1,1210000,1935
31,1,10406000,1886
36,1,10010000,1891
26,3,3001900,1908
83,1,1210000,1939
30,1,6120000,1885
59,6,2200000,1915
33,14,6787400,1888
55,1,855547,1910
51,2,63600000,1917
39,1,4290000,1894
64,1,540000,1919
26,1,4680000,1881
27,1,10010000,1882
25,1,6120000,1880
29,1,6480000,1884
66,1,1526426,1921
18,1,5200000,1873
2,2,18700000,1941
32,1,2970000,1887
23,1,4810000,1878
85,1,1760000,1940
18,1,10780000,1873
85,1,638000,1941
84,1,715000,1940
22,1,11099000,1877
21,11,126343800,1922
27,2,11220000,1882
23,1,1232000,1878
22,1,1265000,1877
82,2,935000,1937
33,1,5200000,1888
67,1,935000,1923
26,1,1221000,1882
23,2,2750000,1901
62,1,1210000,1917
36,1,11000000,1891
20,1,4615000,1875
18,1,12210000,1873
88,1,1232000,1943
22,1,2560000,1877
54,1,528000,1910
65,2,1925000,1940
25,1,11000000,1880
20,1,5520000,1875
75,1,724779,1931
75,1,803000,1930
58,4,3492500,1938
21,1,1210000,1877
18,1,4680000,1873
27,1,4277000,1882
25,1,11055000,1880
70,3,2701600,1938
43,1,4225000,1898
69,2,1222000,1939
87,3,1053800,1943
55,2,782000,1911
29,1,5880000,1884
37,1,720000,1893
77,1,1540000,1932
61,2,858000,1916
27,1,5460000,1882
23,1,5640000,1878
19,1,10120000,1874
20,1,11099000,1875
20,1,5760000,1875
80,1,990000,1935
73,1,754050,1928
71,1,1265000,1926
39,1,10835000,1894
61,1,715000,1916
22,1,6120000,1877
73,1,611000,1928
22,1,1210000,1877
62,1,1776500,1918
31,1,11220000,1886
22,2,22990000,1907
60,1,808500,1916
34,1,6480000,1889
82,1,715000,1937
21,11,125908200,1910
31,1,12969000,1886
15,4,1089000,1879
60,1,1956900,1915
2,2,8845000,1886
22,1,2560000,1877
24,1,2560000,1879
71,1,1265000,1926
66,1,935000,1921
7,2,2858324,1917
25,1,4030000,1880
27,1,2560000,1882
71,1,1265000,1926
64,11,8165000,1936
39,1,10010000,1894
20,1,5700000,1875
23,1,10780000,1878
43,3,2974000,1933
30,1,6240000,1885
45,1,4030000,1900
25,1,1221000,1881
65,1,880000,1920
45,1,11000000,1900
19,1,11099000,1874
68,1,343000,1923
22,1,12760000,1877
43,3,14080000,1903
6,4,2681500,1932
27,1,1215500,1882
66,1,840400,1922
63,2,858000,1918
37,1,10010000,1892
30,1,1210000,1885
41,2,3509000,1926
26,1,4030000,1881
18,1,5005000,1873
43,1,10010000,1898
79,1,759000,1934
17,1,314000,1872
72,2,48620000,1941
7,1,1320000,1863
80,1,803000,1936
44,2,2508000,1920
38,1,5520000,1893
23,1,1155000,1879
19,1,4485000,1874
15,1,1210000,1871
18,1,6120000,1873
39,1,13585000,1894
64,1,1039500,1919
76,1,1232000,1931
18,1,12210000,1873
25,1,1265000,1880
17,3,2333000,1936
17,3,2406000,1900
31,1,11605000,1886
19,1,10560000,1874
41,5,5689750,1935
22,1,10010000,1877
27,1,11055000,1882
4,32,55688030,1941
89,1,1210000,1944
68,1,786500,1923
2,10,6338200,1941
83,1,770000,1939
29,1,5940000,1884
21,6,68919400,1910
20,1,5520000,1875
24,1,6120000,1879
41,1,3300000,1896
73,2,770000,1928
22,1,11000000,1877
39,1,6180000,1894
32,2,11110000,1887
73,1,775500,1928
31,1,3150000,1886
31,1,11110000,1886
1,2,12738000,1863
64,1,600000,1919
29,1,10538000,1884
25,1,720000,1880
78,3,4785000,1937
33,1,5520000,1888
27,1,10010000,1882
6,8,6023500,1927
83,1,803000,1939
37,1,4030000,1892
24,2,22939400,1900
24,1,6060000,1879
65,3,1221600,1929
40,1,4810000,1895
77,3,996369,1933
49,1,1034000,1905
43,1,4030000,1898
79,1,319675,1934
31,1,10010000,1886
73,1,873400,1929
30,1,6240000,1885
43,1,6360000,1898
4,17,14077239,1927
58,1,1320000,1914
25,1,10010000,1880
18,1,3640000,1873
45,1,4030000,1900
39,1,10010000,1894
81,1,1210000,1936
33,1,5880000,1888
23,1,6240000,1878
22,1,10659000,1877
27,1,11550000,1882
32,1,1716000,1888
61,4,1045000,1916
17,3,2406000,1900
20,1,6120000,1875
56,1,6120000,1912
67,1,440000,1923
35,1,1320000,1890
59,1,370500,1915
59,1,352800,1915
24,1,4030000,1879
20,1,11055000,1875
33,9,8369900,1941
48,1,10010000,1903
25,1,6240000,1880
7,3,4246000,1911
20,1,11770000,1875
30,1,10659000,1885
45,1,6120000,1900
65,1,748000,1920
76,2,1628000,1933
