Recency,Frequency,MonetaryValue,Length
19,1,6840000,1874
63,1,936000,1919
24,1,565500,1880
36,1,5520000,1891
25,1,2560000,1880
26,1,14399000,1881
62,1,1210000,1917
20,1,10560000,1875
27,1,5520000,1882
2,5,7133000,1920
25,1,6240000,1880
45,1,4290000,1900
30,1,1276000,1885
25,1,726000,1880
45,1,10010000,1900
22,2,22990000,1907
22,1,1232000,1877
20,1,1265000,1875
63,1,936000,1919
32,1,11000000,1887
9,1,34759978,1864
23,1,11055000,1878
22,1,3640000,1877
43,1,11099000,1898
24,1,2560000,1879
27,1,1226500,1883
41,2,8930000,1903
32,1,11000000,1887
66,2,1453320,1937
53,1,1320000,1909
57,1,1617000,1912
22,1,12210000,1877
18,1,3640000,1873
23,1,10780000,1878
25,1,720000,1880
30,1,3000000,1885
26,1,1210000,1881
16,3,3685000,1926
48,1,4030000,1903
23,1,4810000,1878
21,12,137352600,1922
20,1,6072000,1875
29,1,11000000,1884
32,1,4030000,1887
20,1,11099000,1875
24,1,4810000,1879
18,1,11110000,1873
28,1,13200000,1883
29,1,5640000,1884
32,1,10010000,1887
32,1,11055000,1887
37,1,11099000,1892
73,1,2640000,1929
30,2,11000000,1885
23,1,275550,1878
20,1,2560000,1875
24,1,10406000,1879
22,1,3640000,1877
27,1,1232000,1883
73,1,672100,1929
62,3,1432200,1938
77,1,600000,1933
15,2,2024000,1884
39,1,5520000,1894
29,3,2366700,1904
85,1,432000,1940
25,1,1221000,1880
18,1,4680000,1873
65,1,869000,1920
31,1,2560000,1886
29,1,10230000,1884
29,1,10780000,1884
17,2,1808000,1895
24,1,11000000,1879
59,1,1265000,1915
74,1,865150,1930
37,1,6120000,1892
69,2,2002000,1935
20,1,10560000,1875
78,2,2079000,1933
1,1,6369000,1856
29,1,11000000,1884
41,1,5520000,1896
27,1,4680000,1882
20,1,10560000,1875
19,1,4030000,1874
72,2,48620000,1941
30,1,3150000,1885
37,1,4030000,1892
22,2,22990000,1902
40,1,5520000,1895
19,1,10560000,1874
29,1,6240000,1884
69,2,1430000,1930
81,1,1210000,1936
20,1,4680000,1875
23,1,6240000,1878
36,1,3654000,1892
83,2,585000,1938
24,1,5700000,1879
61,4,2680000,1916
23,1,1221000,1879
18,1,4875000,1873
27,1,4680000,1882
41,1,5520000,1896
70,2,1754500,1933
19,1,6120000,1874
68,3,6410800,1923
33,1,4030000,1888
24,1,11099000,1879
28,6,4460500,1884
32,1,6180000,1887
22,1,11605000,1877
45,1,4030000,1900
22,2,22939400,1903
77,1,1375000,1933
56,1,6120000,1912
24,1,11110000,1879
20,1,6240000,1875
25,1,10010000,1880
20,1,11605000,1876
71,1,645600,1927
12,2,1324160,1867
